cell_type,mark,role,source,accession,file,assembly,liftover_to_hg19,download_url,notes
reference,genome,reference_genome,UCSC,,hg19.fa.gz,hg19,no,https://hgdownload.soe.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz,Reference genome for all analyses; gunzip before use
reference,gene_annotation,tss_annotation,UCSC,,refFlat_hg19.txt.gz,hg19,no,https://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/refFlat.txt.gz,UCSC RefFlat annotation; tss_2kb_hg19.bed derived by expanding TSS ±2 kb with pybedtools merge
A549,G4P-ChIP,training_label,GEO,GSE133379,GSE133379_A549-G4P-hg19-subtract-rep1.bigWig,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133379/suppl/GSE133379_A549-G4P-hg19-subtract-rep1.bigWig,Mao et al. 2021 (PMID 33414054); G4P ChIP-seq subtract ratio track; rep 1 only
A549,H3K4me3,training_epi,ENCODE,ENCFF021UDY,ENCFF021UDY.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF021UDY/@@download/ENCFF021UDY.bigWig,Signal p-value track; lifted to hg19 via UCSC liftOver + chain hg38ToHg19
A549,H3K27ac,training_epi,ENCODE,ENCFF126BYV,ENCFF126BYV.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF126BYV/@@download/ENCFF126BYV.bigWig,Signal p-value track; lifted to hg19
A549,ATAC-seq,training_epi,ENCODE,ENCFF399KCR,ENCFF399KCR.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF399KCR/@@download/ENCFF399KCR.bigWig,Signal p-value track; lifted to hg19; replaces earlier fold-change track ENCFF872SDF (wrong metric)
A549,H3K4me1,downloaded_not_used,ENCODE,ENCFF633KDT,ENCFF633KDT.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF633KDT/@@download/ENCFF633KDT.bigWig,Downloaded for exploratory analysis; not used in published models
A549,H3K9me3,downloaded_not_used,ENCODE,ENCFF474QYY,ENCFF474QYY.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF474QYY/@@download/ENCFF474QYY.bigWig,Downloaded for exploratory analysis; not used in published models
A549,H3K36me3,downloaded_not_used,ENCODE,ENCFF053BXF,ENCFF053BXF.bigWig,hg19,no,https://www.encodeproject.org/files/ENCFF053BXF/@@download/ENCFF053BXF.bigWig,Downloaded for exploratory analysis; not used in published models
HeLa.S3,G4P-ChIP,multicell_training_label,GEO,GSE133379,GSE133379_HeLa-S3-G4P-hg19-subtract-rep1.bigWig,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133379/suppl/GSE133379_HeLa-S3-G4P-hg19-subtract-rep1.bigWig,Mao et al. 2021; same GEO series as A549; rep 1 subtract track
HeLa.S3,H3K4me3,multicell_training_epi,ENCODE,ENCFF199GIO,ENCFF199GIO.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF199GIO/@@download/ENCFF199GIO.bigWig,Signal p-value track; lifted to hg19
HeLa.S3,H3K27ac,multicell_training_epi,ENCODE,ENCFF023UNN,ENCFF023UNN.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF023UNN/@@download/ENCFF023UNN.bigWig,Signal p-value track; lifted to hg19
HeLa.S3,ATAC-seq,multicell_training_epi,ENCODE,ENCFF233MHR,ENCFF233MHR.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF233MHR/@@download/ENCFF233MHR.bigWig,Signal p-value track; lifted to hg19
HepG2,BG4-ChIP,multicell_training_label,GEO,GSE145090,GSE145090_HepG2_async_rep1-3.mult.2of9.bed.gz,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145090/suppl/GSE145090_HepG2_async_rep1-3.mult.2of9.bed.gz,Consensus BG4 peaks (>=2 of 3 replicates); used as binary labels; assembly appears to be hg19 (no liftover applied)
HepG2,H3K4me3,multicell_training_epi,ENCODE,ENCFF645ZUY,ENCFF645ZUY.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF645ZUY/@@download/ENCFF645ZUY.bigWig,Signal p-value track; lifted to hg19
HepG2,H3K27ac,multicell_training_epi,ENCODE,ENCFF493VUL,ENCFF493VUL.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF493VUL/@@download/ENCFF493VUL.bigWig,Signal p-value track; lifted to hg19
HepG2,ATAC-seq,multicell_training_epi,ENCODE,ENCFF262URW,ENCFF262URW.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF262URW/@@download/ENCFF262URW.bigWig,Signal p-value track; lifted to hg19
HEK293T,G4P-ChIP,crosscell_eval_label,GEO,GSE133379,GSE133379_293T-G4P-hg19-subtract-rep1.bigWig,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133379/suppl/GSE133379_293T-G4P-hg19-subtract-rep1.bigWig,Mao et al. 2021; 293T in filename = HEK293T; rep 1 subtract track
HEK293T,H3K4me3,crosscell_eval_epi,ENCODE,ENCFF315TAU,ENCFF315TAU.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF315TAU/@@download/ENCFF315TAU.bigWig,Signal p-value track; lifted to hg19
HEK293T,H3K27ac,crosscell_eval_epi,ENCODE,ENCFF186KMN,ENCFF186KMN.bigWig,hg19,no,https://www.encodeproject.org/files/ENCFF186KMN/@@download/ENCFF186KMN.bigWig,Signal p-value track; already hg19; no liftover needed
HEK293T,ATAC-seq,crosscell_eval_epi,ENCODE,ENCFF128DKF,ENCFF128DKF.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF128DKF/@@download/ENCFF128DKF.bigWig,Signal p-value; no treatment; lifted to hg19; replaces GSM3905877 (HEK293flpGR+dex — wrong cell condition)
K562,BG4-ChIP (peaks),crosscell_eval_label;bg4_samecell_label,GEO,GSE107690,GSE107690_K562_High_confidence_peaks.bed.gz,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107690/suppl/GSE107690_K562_High_confidence_peaks.bed.gz,Hansel-Hertsch et al.; high-confidence BG4 peaks used as binary labels for cross-cell eval and K562 same-cell training
K562,BG4-ChIP (rep1 signal),crosscell_eval_signal;bg4_samecell_signal,GEO,GSM2876090,GSM2876090_B_REP1.SLX-12319.K562_asynch_a_701_504.clean.bw,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2876nnn/GSM2876090/suppl/GSM2876090_B_REP1.SLX-12319.K562_asynch_a_701_504.clean.bw,Rep1 signal BigWig; max(rep1,rep2) used as continuous signal track for threshold estimation
K562,BG4-ChIP (rep2 signal),crosscell_eval_signal;bg4_samecell_signal,GEO,GSM2876093,GSM2876093_B_REP2.SLX-12320.K562_P9_Async_c_701_503.rmdup.clean.bw,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2876nnn/GSM2876093/suppl/GSM2876093_B_REP2.SLX-12320.K562_P9_Async_c_701_503.rmdup.clean.bw,Rep2 signal BigWig; merged with rep1 (element-wise max) to form continuous signal
K562,H3K4me3,crosscell_eval_epi;bg4_samecell_epi,ENCODE,ENCFF929TPH,ENCFF929TPH.bigWig,hg19,no,https://www.encodeproject.org/files/ENCFF929TPH/@@download/ENCFF929TPH.bigWig,Signal p-value track; already hg19
K562,H3K27ac,crosscell_eval_epi;bg4_samecell_epi,ENCODE,ENCFF488FYZ,ENCFF488FYZ.bigWig,hg19,no,https://www.encodeproject.org/files/ENCFF488FYZ/@@download/ENCFF488FYZ.bigWig,Signal p-value track; already hg19
K562,ATAC-seq,crosscell_eval_epi;bg4_samecell_epi,ENCODE,ENCFF252GZO,ENCFF252GZO.bigWig,GRCh38,yes,https://www.encodeproject.org/files/ENCFF252GZO/@@download/ENCFF252GZO.bigWig,Signal p-value track; lifted to hg19
H9_ESC,BG4-ChIP (peaks),heldout_eval_label,GEO,GSE161531,GSE161531_ESC.bio2out3.bed.gz,GRCh38,yes,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161531/suppl/GSE161531_ESC.bio2out3.bed.gz,Consensus BG4 peaks (>=2 of 3 replicates); in GRCh38; lifted to hg19 for all analyses
H9_ESC,H3K4me3,heldout_eval_epi,Roadmap,E008,E008-H3K4me3.fc.signal.bigwig,hg19,no,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/foldChange/E008-H3K4me3.fc.signal.bigwig,Roadmap Epigenomics consortium; E008 = H9 hESC; fold-change over input
H9_ESC,H3K27ac,heldout_eval_epi,Roadmap,E008,E008-H3K27ac.fc.signal.bigwig,hg19,no,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/foldChange/E008-H3K27ac.fc.signal.bigwig,Roadmap Epigenomics consortium; E008 = H9 hESC; fold-change over input
H9_ESC,DNase-seq (ATAC proxy),heldout_eval_epi,Roadmap,E008,E008-DNase.fc.signal.bigwig,hg19,no,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/foldChange/E008-DNase.fc.signal.bigwig,DNase-seq used as chromatin accessibility proxy; Roadmap H9 hESC has no ATAC-seq; fold-change over input
H1975,G4P-ChIP,seqonly_crosscell_label,GEO,GSE133379,GSE133379_H1975-G4P-hg19-subtract-rep1.bigWig,hg19,no,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133379/suppl/GSE133379_H1975-G4P-hg19-subtract-rep1.bigWig,Mao et al. 2021; H1975 not in ENCODE so epi input set to zero for this cell type; not in main paper tables
