cell_type,mark,mean_signal
A549,H3K4me3,0.003878638381138444
A549,H3K4me3,0.021854395046830177
A549,H3K4me3,0.023782547563314438
A549,H3K4me3,0.024889064952731133
A549,H3K4me3,0.010453138500452042
A549,H3K4me3,0.03959614783525467
A549,H3K4me3,0.04020683467388153
A549,H3K4me3,0.0402708500623703
A549,H3K4me3,0.034284885972738266
A549,H3K4me3,0.029779819771647453
A549,H3K4me3,0.02744797058403492
A549,H3K4me3,0.025332573801279068
A549,H3K4me3,0.02806534431874752
A549,H3K4me3,0.03373418748378754
A549,H3K4me3,0.038508251309394836
A549,H3K4me3,0.043983325362205505
A549,H3K4me3,0.05731331557035446
A549,H3K4me3,0.061755839735269547
A549,H3K4me3,0.06747788935899734
A549,H3K4me3,0.07048480957746506
A549,H3K4me3,0.07360342144966125
A549,H3K4me3,0.07817699015140533
A549,H3K4me3,0.07872714102268219
A549,H3K4me3,0.077424556016922
A549,H3K4me3,0.07064679265022278
A549,H3K4me3,0.05756433308124542
A549,H3K4me3,0.05248865485191345
A549,H3K4me3,0.046461448073387146
A549,H3K4me3,0.03835209459066391
A549,H3K4me3,0.0002122998848790303
A549,H3K4me3,0.0013181049143895507
A549,H3K4me3,0.0030244619119912386
A549,H3K4me3,0.0034628664143383503
A549,H3K4me3,0.01188056729733944
A549,H3K4me3,0.010976491495966911
A549,H3K4me3,0.011110689491033554
A549,H3K4me3,0.0112603222951293
A549,H3K4me3,0.013143052347004414
A549,H3K4me3,0.029508978128433228
A549,H3K4me3,0.03262397646903992
A549,H3K4me3,0.053575485944747925
A549,H3K4me3,0.05259975418448448
A549,H3K4me3,0.0429321825504303
A549,H3K4me3,0.03906446322798729
A549,H3K4me3,0.027782756835222244
A549,H3K4me3,0.02834051102399826
A549,H3K4me3,0.0291232131421566
A549,H3K4me3,0.02961176447570324
A549,H3K4me3,0.030544070526957512
A549,H3K4me3,0.030839424580335617
A549,H3K4me3,0.030865872278809547
A549,H3K4me3,0.03155631199479103
A549,H3K4me3,0.034947846084833145
A549,H3K4me3,0.040133632719516754
A549,H3K4me3,0.04981409013271332
A549,H3K4me3,0.05306146293878555
A549,H3K4me3,0.05730947107076645
A549,H3K4me3,0.05614997819066048
A549,H3K4me3,0.048880863934755325
A549,H3K4me3,0.0033868884202092886
A549,H3K4me3,0.00017840477812569588
A549,H3K4me3,0.0002403516846243292
A549,H3K4me3,0.0002607794012874365
A549,H3K4me3,0.24120183289051056
A549,H3K4me3,0.22787538170814514
A549,H3K4me3,0.026866622269153595
A549,H3K4me3,0.034985482692718506
A549,H3K4me3,0.03460071235895157
A549,H3K4me3,0.03376568481326103
A549,H3K4me3,0.0319514237344265
A549,H3K4me3,0.030811186879873276
A549,H3K4me3,0.03054131008684635
A549,H3K4me3,0.0301639586687088
A549,H3K4me3,0.024728061631321907
A549,H3K4me3,0.022200167179107666
A549,H3K4me3,0.012573633342981339
A549,H3K4me3,0.006587817333638668
A549,H3K4me3,0.00019421905744820833
A549,H3K4me3,0.00019730617350433022
A549,H3K4me3,0.01255734171718359
A549,H3K4me3,0.02246926538646221
A549,H3K4me3,0.06860155612230301
A549,H3K4me3,0.07995693385601044
A549,H3K4me3,0.0853748470544815
A549,H3K4me3,0.03374730050563812
