mark,group,bin,position_bp,epi_marg
H3K4me3,A549 G4+ all,0,5.0,0.02299315482378006
H3K4me3,A549 G4+ all,1,15.0,0.012603712268173695
H3K4me3,A549 G4+ all,2,25.0,0.0067504881881177425
H3K4me3,A549 G4+ all,3,35.0,0.0028956960886716843
H3K4me3,A549 G4+ all,4,45.0,0.002492266707122326
H3K4me3,A549 G4+ all,5,55.0,0.0034833187237381935
H3K4me3,A549 G4+ all,6,65.0,0.005073276348412037
H3K4me3,A549 G4+ all,7,75.0,0.009244408458471298
H3K4me3,A549 G4+ all,8,85.0,0.014151428826153278
H3K4me3,A549 G4+ all,9,95.0,0.009141114540398121
H3K4me3,A549 G4+ all,10,105.0,0.007908973842859268
H3K4me3,A549 G4+ all,11,115.0,0.008531942032277584
H3K4me3,A549 G4+ all,12,125.0,0.006933361291885376
H3K4me3,A549 G4+ all,13,135.0,0.005413309205323458
H3K4me3,A549 G4+ all,14,145.0,0.009977475740015507
H3K4me3,A549 G4+ all,15,155.0,0.026532988995313644
H3K4me3,A549 G4+ all,16,165.0,0.013021677732467651
H3K4me3,A549 G4+ all,17,175.0,0.009011562913656235
H3K4me3,A549 G4+ all,18,185.0,0.011094454675912857
H3K4me3,A549 G4+ all,19,195.0,0.010845690965652466
H3K4me3,A549 G4+ all,20,205.0,0.009092995896935463
H3K4me3,A549 G4+ all,21,215.0,0.008522548712790012
H3K4me3,A549 G4+ all,22,225.0,0.00791412964463234
H3K4me3,A549 G4+ all,23,235.0,0.007682649418711662
H3K4me3,A549 G4+ all,24,245.0,0.007966221310198307
H3K4me3,A549 G4+ all,25,255.0,0.008468342944979668
H3K4me3,A549 G4+ all,26,265.0,0.0077873943373560905
H3K4me3,A549 G4+ all,27,275.0,0.005079461727291346
H3K4me3,A549 G4+ all,28,285.0,0.003749384544789791
H3K4me3,A549 G4+ all,29,295.0,0.004747821018099785
H3K4me3,A549 G4+ all,30,305.0,0.005464818328619003
H3K4me3,A549 G4+ all,31,315.0,0.004760678391903639
H3K4me3,A549 G4+ all,32,325.0,0.005811462178826332
H3K4me3,A549 G4+ all,33,335.0,0.01310010813176632
H3K4me3,A549 G4+ all,34,345.0,0.009075559675693512
H3K4me3,A549 G4+ all,35,355.0,0.0028396816924214363
H3K4me3,A549 G4+ all,36,365.0,0.0024027619510889053
H3K4me3,A549 G4+ all,37,375.0,0.003381549147889018
H3K4me3,A549 G4+ all,38,385.0,0.005872995126992464
H3K4me3,A549 G4+ all,39,395.0,0.009600657969713211
H3K4me3,A549 G4+ all,40,405.0,0.013012371025979519
H3K4me3,A549 G4+ all,41,415.0,0.00692343944683671
H3K4me3,A549 G4+ all,42,425.0,0.0068651046603918076
H3K4me3,A549 G4+ all,43,435.0,0.009240983985364437
H3K4me3,A549 G4+ all,44,445.0,0.011545199900865555
H3K4me3,A549 G4+ all,45,455.0,0.01639237441122532
H3K4me3,A549 G4+ all,46,465.0,0.022291287779808044
H3K4me3,A549 G4+ all,47,475.0,0.02617805451154709
H3K4me3,A549 G4+ all,48,485.0,0.025782644748687744
H3K4me3,A549 G4+ all,49,495.0,0.02457096055150032
H3K4me3,A549 G4+ all,50,505.0,0.025114990770816803
