group,seq_bin,epi_bin,attn_weight
A549 G4+ promoter,0,0,0.03450152650475502
A549 G4+ promoter,0,1,0.007660179398953915
A549 G4+ promoter,0,2,0.004118659067898989
A549 G4+ promoter,0,3,0.004316477570682764
A549 G4+ promoter,0,4,0.006423885468393564
A549 G4+ promoter,0,5,0.009925632737576962
A549 G4+ promoter,0,6,0.016512751579284668
A549 G4+ promoter,0,7,0.023439442738890648
A549 G4+ promoter,0,8,0.013341131620109081
A549 G4+ promoter,0,9,0.004277351778000593
A549 G4+ promoter,0,10,0.0022454981226474047
A549 G4+ promoter,0,11,0.002245827578008175
A549 G4+ promoter,0,12,0.002516527194529772
A549 G4+ promoter,0,13,0.0025702377315610647
A549 G4+ promoter,0,14,0.0023722099140286446
A549 G4+ promoter,0,15,0.00333071849308908
A549 G4+ promoter,0,16,0.003652009880170226
A549 G4+ promoter,0,17,0.003881508484482765
A549 G4+ promoter,0,18,0.0032170931808650494
A549 G4+ promoter,0,19,0.0021348712034523487
A549 G4+ promoter,0,20,0.0015809263568371534
A549 G4+ promoter,0,21,0.002094211522489786
A549 G4+ promoter,0,22,0.0038100513629615307
A549 G4+ promoter,0,23,0.007229696959257126
A549 G4+ promoter,0,24,0.008874515071511269
A549 G4+ promoter,0,25,0.006671093869954348
A549 G4+ promoter,0,26,0.00395458796992898
A549 G4+ promoter,0,27,0.003458429826423526
A549 G4+ promoter,0,28,0.004397469572722912
A549 G4+ promoter,0,29,0.008119985461235046
A549 G4+ promoter,0,30,0.013190279714763165
A549 G4+ promoter,0,31,0.013094350695610046
A549 G4+ promoter,0,32,0.010489272885024548
A549 G4+ promoter,0,33,0.007814425975084305
A549 G4+ promoter,0,34,0.005992973688989878
A549 G4+ promoter,0,35,0.0068827117793262005
A549 G4+ promoter,0,36,0.00898427702486515
A549 G4+ promoter,0,37,0.01021552737802267
A549 G4+ promoter,0,38,0.010152866132557392
A549 G4+ promoter,0,39,0.010899287648499012
A549 G4+ promoter,0,40,0.01220336090773344
A549 G4+ promoter,0,41,0.012722400948405266
A549 G4+ promoter,0,42,0.012369336560368538
A549 G4+ promoter,0,43,0.012297471985220909
A549 G4+ promoter,0,44,0.018407627940177917
A549 G4+ promoter,0,45,0.04546653851866722
A549 G4+ promoter,0,46,0.10055616497993469
A549 G4+ promoter,0,47,0.11107778549194336
A549 G4+ promoter,0,48,0.0669766291975975
A549 G4+ promoter,0,49,0.0377788208425045
A549 G4+ promoter,0,50,0.018986547365784645
A549 G4+ promoter,0,51,0.00826506782323122
A549 G4+ promoter,0,52,0.004075043834745884
A549 G4+ promoter,0,53,0.0034058254677802324
A549 G4+ promoter,0,54,0.004973181523382664
A549 G4+ promoter,0,55,0.0077979955822229385
A549 G4+ promoter,0,56,0.007532892283052206
A549 G4+ promoter,0,57,0.0055839805863797665
A549 G4+ promoter,0,58,0.0036379992961883545
A549 G4+ promoter,0,59,0.0029840716160833836
A549 G4+ promoter,0,60,0.0035884471144527197
A549 G4+ promoter,0,61,0.005727219861000776
A549 G4+ promoter,0,62,0.005781037732958794
A549 G4+ promoter,0,63,0.003969330806285143
A549 G4+ promoter,0,64,0.0025518990587443113
A549 G4+ promoter,0,65,0.0030781158711761236
A549 G4+ promoter,0,66,0.0038165890146046877
A549 G4+ promoter,0,67,0.004130564630031586
A549 G4+ promoter,0,68,0.0036843991838395596
A549 G4+ promoter,0,69,0.002574825193732977
A549 G4+ promoter,0,70,0.001967816147953272
A549 G4+ promoter,0,71,0.001974972663447261
A549 G4+ promoter,0,72,0.002882416592910886
A549 G4+ promoter,0,73,0.005064298398792744
A549 G4+ promoter,0,74,0.005589316599071026
A549 G4+ promoter,0,75,0.004216750618070364
A549 G4+ promoter,0,76,0.002198821399360895
A549 G4+ promoter,0,77,0.0015536060091108084
A549 G4+ promoter,0,78,0.0016592680476605892
A549 G4+ promoter,0,79,0.002625795779749751
A549 G4+ promoter,0,80,0.004643123596906662
A549 G4+ promoter,0,81,0.007184659130871296
A549 G4+ promoter,0,82,0.012256684713065624
A549 G4+ promoter,0,83,0.012515367940068245
A549 G4+ promoter,0,84,0.006012960337102413
A549 G4+ promoter,0,85,0.00289088673889637
A549 G4+ promoter,0,86,0.0023854635655879974
A549 G4+ promoter,0,87,0.0026947949081659317
A549 G4+ promoter,0,88,0.002241679234430194
A549 G4+ promoter,0,89,0.002207509009167552
A549 G4+ promoter,0,90,0.0027789876330643892
A549 G4+ promoter,0,91,0.003519791178405285
A549 G4+ promoter,0,92,0.0031951842829585075
A549 G4+ promoter,0,93,0.003033881774172187
A549 G4+ promoter,0,94,0.002306767040863633
A549 G4+ promoter,0,95,0.001414444879628718
A549 G4+ promoter,0,96,0.0017099714605137706
A549 G4+ promoter,0,97,0.003870819229632616
A549 G4+ promoter,0,98,0.012936842627823353
A549 G4+ promoter,0,99,0.043875470757484436
A549 G4+ promoter,1,0,0.03440289944410324
A549 G4+ promoter,1,1,0.007524482440203428
A549 G4+ promoter,1,2,0.003999369218945503
A549 G4+ promoter,1,3,0.004269716329872608
A549 G4+ promoter,1,4,0.00636560283601284
A549 G4+ promoter,1,5,0.009933439083397388
A549 G4+ promoter,1,6,0.016568955034017563
A549 G4+ promoter,1,7,0.02359553426504135
A549 G4+ promoter,1,8,0.013390613719820976
A549 G4+ promoter,1,9,0.004186080303043127
A549 G4+ promoter,1,10,0.0021865894086658955
A549 G4+ promoter,1,11,0.0021959568839520216
A549 G4+ promoter,1,12,0.0024758712388575077
A549 G4+ promoter,1,13,0.0025410265661776066
A549 G4+ promoter,1,14,0.002362560946494341
A549 G4+ promoter,1,15,0.003329241881147027
A549 G4+ promoter,1,16,0.003614431479945779
A549 G4+ promoter,1,17,0.003849197179079056
A549 G4+ promoter,1,18,0.003182169981300831
A549 G4+ promoter,1,19,0.0021082162857055664
A549 G4+ promoter,1,20,0.0015388308092951775
A549 G4+ promoter,1,21,0.0020352154970169067
A549 G4+ promoter,1,22,0.0037259231321513653
A549 G4+ promoter,1,23,0.007134432904422283
A549 G4+ promoter,1,24,0.008936692960560322
A549 G4+ promoter,1,25,0.006657326593995094
A549 G4+ promoter,1,26,0.003881533397361636
A549 G4+ promoter,1,27,0.003376253182068467
A549 G4+ promoter,1,28,0.00438495259732008
A549 G4+ promoter,1,29,0.008291925303637981
A549 G4+ promoter,1,30,0.013785215094685555
A549 G4+ promoter,1,31,0.013977034948766232
A549 G4+ promoter,1,32,0.011172733269631863
A549 G4+ promoter,1,33,0.008225035853683949
A549 G4+ promoter,1,34,0.006134161725640297
A549 G4+ promoter,1,35,0.006989613175392151
A549 G4+ promoter,1,36,0.00898175872862339
A549 G4+ promoter,1,37,0.010147839784622192
A549 G4+ promoter,1,38,0.010098345577716827
A549 G4+ promoter,1,39,0.010774936527013779
A549 G4+ promoter,1,40,0.012059018015861511
A549 G4+ promoter,1,41,0.012637431733310223
A549 G4+ promoter,1,42,0.01236927043646574
A549 G4+ promoter,1,43,0.012192548252642155
A549 G4+ promoter,1,44,0.018358943983912468
A549 G4+ promoter,1,45,0.04492885246872902
A549 G4+ promoter,1,46,0.09982142597436905
A549 G4+ promoter,1,47,0.11127883940935135
A549 G4+ promoter,1,48,0.06722520291805267
A549 G4+ promoter,1,49,0.03755028173327446
A549 G4+ promoter,1,50,0.01863517053425312
A549 G4+ promoter,1,51,0.008121569640934467
A549 G4+ promoter,1,52,0.004043180961161852
A549 G4+ promoter,1,53,0.003424455877393484
