mark,group,bin,position_bp,row_entropy
H3K4me3,A549 G4+ promoter,0,5.0,4.430530071258545
H3K4me3,A549 G4+ promoter,1,15.0,4.429784774780273
H3K4me3,A549 G4+ promoter,2,25.0,4.429043769836426
H3K4me3,A549 G4+ promoter,3,35.0,4.427894115447998
H3K4me3,A549 G4+ promoter,4,45.0,4.426327228546143
H3K4me3,A549 G4+ promoter,5,55.0,4.425168991088867
H3K4me3,A549 G4+ promoter,6,65.0,4.425214767456055
H3K4me3,A549 G4+ promoter,7,75.0,4.424940586090088
H3K4me3,A549 G4+ promoter,8,85.0,4.424598693847656
H3K4me3,A549 G4+ promoter,9,95.0,4.423930644989014
H3K4me3,A549 G4+ promoter,10,105.0,4.422849655151367
H3K4me3,A549 G4+ promoter,11,115.0,4.420626163482666
H3K4me3,A549 G4+ promoter,12,125.0,4.419843673706055
H3K4me3,A549 G4+ promoter,13,135.0,4.41945743560791
H3K4me3,A549 G4+ promoter,14,145.0,4.419521808624268
H3K4me3,A549 G4+ promoter,15,155.0,4.419551849365234
H3K4me3,A549 G4+ promoter,16,165.0,4.418830871582031
H3K4me3,A549 G4+ promoter,17,175.0,4.417928695678711
H3K4me3,A549 G4+ promoter,18,185.0,4.417688846588135
H3K4me3,A549 G4+ promoter,19,195.0,4.41657829284668
H3K4me3,A549 G4+ promoter,20,205.0,4.414618492126465
H3K4me3,A549 G4+ promoter,21,215.0,4.415279865264893
H3K4me3,A549 G4+ promoter,22,225.0,4.415761947631836
H3K4me3,A549 G4+ promoter,23,235.0,4.418097496032715
H3K4me3,A549 G4+ promoter,24,245.0,4.419241905212402
H3K4me3,A549 G4+ promoter,25,255.0,4.420120716094971
H3K4me3,A549 G4+ promoter,26,265.0,4.4215898513793945
H3K4me3,A549 G4+ promoter,27,275.0,4.421658039093018
H3K4me3,A549 G4+ promoter,28,285.0,4.424234390258789
H3K4me3,A549 G4+ promoter,29,295.0,4.427010536193848
H3K4me3,A549 G4+ promoter,30,305.0,4.429566860198975
H3K4me3,A549 G4+ promoter,31,315.0,4.434508323669434
H3K4me3,A549 G4+ promoter,32,325.0,4.4394378662109375
H3K4me3,A549 G4+ promoter,33,335.0,4.443823337554932
H3K4me3,A549 G4+ promoter,34,345.0,4.446084022521973
H3K4me3,A549 G4+ promoter,35,355.0,4.445678234100342
H3K4me3,A549 G4+ promoter,36,365.0,4.444497108459473
H3K4me3,A549 G4+ promoter,37,375.0,4.444512367248535
H3K4me3,A549 G4+ promoter,38,385.0,4.444973468780518
H3K4me3,A549 G4+ promoter,39,395.0,4.4481120109558105
H3K4me3,A549 G4+ promoter,40,405.0,4.450643539428711
H3K4me3,A549 G4+ promoter,41,415.0,4.448321342468262
H3K4me3,A549 G4+ promoter,42,425.0,4.4446282386779785
H3K4me3,A549 G4+ promoter,43,435.0,4.441762447357178
H3K4me3,A549 G4+ promoter,44,445.0,4.438625335693359
H3K4me3,A549 G4+ promoter,45,455.0,4.439853668212891
H3K4me3,A549 G4+ promoter,46,465.0,4.441223621368408
H3K4me3,A549 G4+ promoter,47,475.0,4.447319984436035
H3K4me3,A549 G4+ promoter,48,485.0,4.442510604858398
H3K4me3,A549 G4+ promoter,49,495.0,4.42924165725708
H3K4me3,A549 G4+ promoter,50,505.0,4.428518295288086
H3K4me3,A549 G4+ promoter,51,515.0,4.443155288696289
H3K4me3,A549 G4+ promoter,52,525.0,4.451220989227295
H3K4me3,A549 G4+ promoter,53,535.0,4.4506449699401855
H3K4me3,A549 G4+ promoter,54,545.0,4.449463367462158
H3K4me3,A549 G4+ promoter,55,555.0,4.44783878326416
H3K4me3,A549 G4+ promoter,56,565.0,4.4478020668029785
H3K4me3,A549 G4+ promoter,57,575.0,4.447868824005127
H3K4me3,A549 G4+ promoter,58,585.0,4.447902679443359
H3K4me3,A549 G4+ promoter,59,595.0,4.447728633880615
H3K4me3,A549 G4+ promoter,60,605.0,4.447004795074463
H3K4me3,A549 G4+ promoter,61,615.0,4.445694923400879
H3K4me3,A549 G4+ promoter,62,625.0,4.443488597869873
H3K4me3,A549 G4+ promoter,63,635.0,4.441991806030273
H3K4me3,A549 G4+ promoter,64,645.0,4.443212509155273
H3K4me3,A549 G4+ promoter,65,655.0,4.443262100219727
H3K4me3,A549 G4+ promoter,66,665.0,4.439383029937744
H3K4me3,A549 G4+ promoter,67,675.0,4.433710098266602
H3K4me3,A549 G4+ promoter,68,685.0,4.424551486968994
H3K4me3,A549 G4+ promoter,69,695.0,4.415012359619141
H3K4me3,A549 G4+ promoter,70,705.0,4.406699180603027
H3K4me3,A549 G4+ promoter,71,715.0,4.402612209320068
H3K4me3,A549 G4+ promoter,72,725.0,4.399856090545654
H3K4me3,A549 G4+ promoter,73,735.0,4.40043306350708
H3K4me3,A549 G4+ promoter,74,745.0,4.402451515197754
H3K4me3,A549 G4+ promoter,75,755.0,4.4036641120910645
H3K4me3,A549 G4+ promoter,76,765.0,4.403042316436768
H3K4me3,A549 G4+ promoter,77,775.0,4.4038825035095215
H3K4me3,A549 G4+ promoter,78,785.0,4.403708457946777
H3K4me3,A549 G4+ promoter,79,795.0,4.403655529022217
H3K4me3,A549 G4+ promoter,80,805.0,4.402764320373535
H3K4me3,A549 G4+ promoter,81,815.0,4.402118682861328
H3K4me3,A549 G4+ promoter,82,825.0,4.403357028961182
H3K4me3,A549 G4+ promoter,83,835.0,4.405172348022461
H3K4me3,A549 G4+ promoter,84,845.0,4.405283451080322
H3K4me3,A549 G4+ promoter,85,855.0,4.406014919281006
H3K4me3,A549 G4+ promoter,86,865.0,4.4055962562561035
H3K4me3,A549 G4+ promoter,87,875.0,4.4050188064575195
H3K4me3,A549 G4+ promoter,88,885.0,4.403767108917236
H3K4me3,A549 G4+ promoter,89,895.0,4.403045177459717
H3K4me3,A549 G4+ promoter,90,905.0,4.402624607086182
H3K4me3,A549 G4+ promoter,91,915.0,4.402355670928955
H3K4me3,A549 G4+ promoter,92,925.0,4.401219367980957
H3K4me3,A549 G4+ promoter,93,935.0,4.398616790771484
H3K4me3,A549 G4+ promoter,94,945.0,4.395476818084717
H3K4me3,A549 G4+ promoter,95,955.0,4.393104076385498
H3K4me3,A549 G4+ promoter,96,965.0,4.392771244049072
H3K4me3,A549 G4+ promoter,97,975.0,4.395564079284668
H3K4me3,A549 G4+ promoter,98,985.0,4.401237964630127
H3K4me3,A549 G4+ promoter,99,995.0,4.407773017883301
H3K4me3,A549 G4+ enhancer,0,5.0,4.37776517868042
H3K4me3,A549 G4+ enhancer,1,15.0,4.378218173980713
H3K4me3,A549 G4+ enhancer,2,25.0,4.377826690673828
H3K4me3,A549 G4+ enhancer,3,35.0,4.376049518585205
H3K4me3,A549 G4+ enhancer,4,45.0,4.373805046081543
H3K4me3,A549 G4+ enhancer,5,55.0,4.372754096984863
