bin,position_bp,ggg_density
0,5.0,0.04049156978726387
1,15.0,0.04031442850828171
2,25.0,0.04013359546661377
3,35.0,0.0398641936480999
4,45.0,0.040137287229299545
5,55.0,0.04045097529888153
6,65.0,0.04159870371222496
7,75.0,0.03979038447141647
8,85.0,0.041004542261362076
9,95.0,0.04153596609830856
10,105.0,0.04287928715348244
11,115.0,0.042203936725854874
12,125.0,0.041395727545022964
13,135.0,0.04238476604223251
14,145.0,0.043340593576431274
15,155.0,0.04321511834859848
16,165.0,0.04289773851633072
17,175.0,0.042942024767398834
18,185.0,0.04351773485541344
19,195.0,0.0438351109623909
20,205.0,0.04315606877207756
21,215.0,0.04359154403209686
22,225.0,0.04389416053891182
23,235.0,0.04456581920385361
24,245.0,0.044595345854759216
25,255.0,0.044178325682878494
26,265.0,0.04432963207364082
27,275.0,0.04520426690578461
28,285.0,0.044617485255002975
29,295.0,0.04445879906415939
30,305.0,0.04501974582672119
31,315.0,0.04554009810090065
32,325.0,0.04598664119839668
33,335.0,0.04506403207778931
34,345.0,0.045156292617321014
35,355.0,0.04487212747335434
36,365.0,0.044576890766620636
37,375.0,0.04497915133833885
38,385.0,0.043499283492565155
39,395.0,0.0442558228969574
40,405.0,0.0442558228969574
41,415.0,0.043060120195150375
42,425.0,0.04307487979531288
43,435.0,0.043130237609148026
44,445.0,0.04295309633016586
45,455.0,0.04173155874013901
46,465.0,0.04086430370807648
47,475.0,0.036446839570999146
48,485.0,0.023530280217528343
49,495.0,0.007635531947016716
50,505.0,0.008074695244431496
51,515.0,0.029176663607358932
52,525.0,0.04096025601029396
53,535.0,0.04340333119034767
54,545.0,0.044038087129592896
55,555.0,0.044875819236040115
56,565.0,0.04358785226941109
57,575.0,0.042543455958366394
58,585.0,0.04380558803677559
59,595.0,0.04382773116230965
60,605.0,0.04435546696186066
61,615.0,0.04527069628238678
62,625.0,0.04365428164601326
63,635.0,0.04409713298082352
64,645.0,0.043669041246175766
65,655.0,0.04348452016711235
66,665.0,0.0434144027531147
67,675.0,0.044945936650037766
68,685.0,0.04332583025097847
69,695.0,0.04327785596251488
70,705.0,0.04353249445557594
71,715.0,0.04448463022708893
72,725.0,0.042831312865018845
73,735.0,0.04254714772105217
74,745.0,0.04346606880426407
75,755.0,0.04399380087852478
76,765.0,0.04286452382802963
77,775.0,0.043598923832178116
78,785.0,0.0440528467297554
79,795.0,0.042801786214113235
80,805.0,0.04235893487930298
81,815.0,0.04252869263291359
82,825.0,0.042192865163087845
83,835.0,0.04204524680972099
84,845.0,0.04148060828447342
85,855.0,0.040997158735990524
86,865.0,0.041004542261362076
87,875.0,0.04047311469912529
88,885.0,0.04072406515479088
89,895.0,0.04035502299666405
90,905.0,0.03931800648570061
91,915.0,0.04027383401989937
92,925.0,0.03970181196928024
93,935.0,0.03910396248102188
94,945.0,0.039926931262016296
95,955.0,0.03951359912753105
96,965.0,0.038292061537504196
97,975.0,0.03868694230914116
98,985.0,0.03926634043455124
99,995.0,0.03116581216454506
