layer,feature,score,metric
CNN,G fraction,0.9668145179748535,R2
CNN,C fraction,0.9588770866394043,R2
CNN,GC fraction,0.9831904768943787,R2
CNN,dist(PQS),-0.0008531808853149414,R2
CNN,in_pqs,0.8074061135427189,AUROC
CNN,max G run,0.741155743598938,R2
CNN,n G3 runs,0.4922392964363098,R2
Layer 1,G fraction,0.8768175840377808,R2
Layer 1,C fraction,0.8271356821060181,R2
Layer 1,GC fraction,0.8958519697189331,R2
Layer 1,dist(PQS),0.9105954766273499,R2
Layer 1,in_pqs,0.9965825038320079,AUROC
Layer 1,max G run,0.6316031217575073,R2
Layer 1,n G3 runs,0.40884608030319214,R2
Layer 2,G fraction,0.8242325782775879,R2
Layer 2,C fraction,0.7730864882469177,R2
Layer 2,GC fraction,0.8477759957313538,R2
Layer 2,dist(PQS),0.8723998069763184,R2
Layer 2,in_pqs,0.9954768028092037,AUROC
Layer 2,max G run,0.5861220359802246,R2
Layer 2,n G3 runs,0.38127779960632324,R2
Layer 3,G fraction,0.8025409579277039,R2
Layer 3,C fraction,0.7576544880867004,R2
Layer 3,GC fraction,0.8164311647415161,R2
Layer 3,dist(PQS),0.8499049544334412,R2
Layer 3,in_pqs,0.9951362679064698,AUROC
Layer 3,max G run,0.5670017600059509,R2
Layer 3,n G3 runs,0.36696577072143555,R2
Layer 4,G fraction,0.7869579195976257,R2
Layer 4,C fraction,0.725970983505249,R2
Layer 4,GC fraction,0.8040687441825867,R2
Layer 4,dist(PQS),0.8269027471542358,R2
Layer 4,in_pqs,0.9938754173410467,AUROC
Layer 4,max G run,0.5617021918296814,R2
Layer 4,n G3 runs,0.36564701795578003,R2
