class,region,imp
pos,inside,0.039033517
pos,inside,0.033776704
pos,inside,0.065950006
pos,inside,0.045255594
pos,inside,0.019602465
pos,inside,0.050503824
pos,inside,0.035233237
pos,inside,0.014585281
pos,inside,0.010535039
pos,inside,0.021011924
pos,inside,0.014228731
pos,inside,0.019408207
pos,inside,0.010276762
pos,inside,0.0071126833
pos,inside,0.06657608
pos,inside,0.019370874
pos,inside,0.02001585
pos,inside,0.0391231
pos,inside,0.0062518064
pos,inside,0.023514045
pos,inside,0.06192398
pos,inside,0.09597451
pos,inside,0.05921588
pos,inside,0.04222947
pos,inside,0.12954886
pos,inside,0.03468927
pos,inside,0.011660181
pos,inside,0.017174698
pos,inside,0.055944245
pos,inside,0.013806057
pos,inside,0.026407838
pos,inside,0.012678595
pos,inside,0.007799891
pos,inside,0.00971088
pos,inside,0.038873557
pos,inside,0.067705624
pos,inside,0.026024064
pos,inside,0.01143019
pos,inside,0.034317836
pos,inside,0.032827247
pos,inside,0.10486244
pos,inside,0.01843038
pos,inside,0.01613339
pos,inside,0.042808052
pos,inside,0.015224271
pos,inside,0.014485728
pos,inside,0.020070218
pos,inside,0.048936885
pos,inside,0.41447768
pos,inside,0.03697774
pos,inside,0.022810325
pos,inside,0.023293845
pos,inside,0.02291132
pos,inside,0.04557733
pos,inside,0.02494054
pos,inside,0.041644182
pos,inside,0.015379245
pos,inside,0.011090001
pos,inside,0.022230858
pos,inside,0.016141407
pos,inside,0.012541364
pos,inside,0.026582755
pos,inside,0.023715211
pos,inside,0.01952167
pos,inside,0.041489825
pos,inside,0.063850604
pos,inside,0.019070508
pos,inside,0.0557361
pos,inside,0.0058617448
pos,inside,0.024046926
pos,inside,0.012823335
pos,inside,0.016218664
pos,inside,0.10243938
pos,inside,0.040589098
pos,inside,0.037396453
pos,inside,0.2225526
pos,inside,0.021667853
pos,inside,0.05192511
pos,inside,0.027508782
pos,inside,0.019403532
pos,inside,0.0064690905
pos,inside,0.050741028
pos,inside,0.070971526
pos,inside,0.033302154
pos,inside,0.032252666
pos,inside,0.019906167
pos,inside,0.030464502
pos,inside,0.055370923
pos,inside,0.01798416
pos,inside,0.010145539
pos,inside,0.048216827
pos,inside,0.04028112
pos,inside,0.008857454
pos,inside,0.020444263
pos,inside,0.07642032
pos,inside,0.054005057
pos,inside,0.036550295
pos,inside,0.008507881
pos,inside,0.060368784
pos,inside,0.0593047
pos,inside,0.038709447
pos,inside,0.076114446
pos,inside,0.11878397
pos,inside,0.021216432
